2250,43.8
3200,44
2120,48.6
46,46
172000,42
11700,48.5
2240,45.5
110,46.8
52700,50.8
58800,51.1
180000,42.4
88.3,47.3
3020,50.9
2100,47.5
95,45.8
13200,45.9
1560,50.6
2300,47
1100,42
2260,48.3
65,46
2240,48.7
2020,51
1740,50.8
3930,49.8
900,41.9
2240,50.8
2950,44.2
800,48
380,50.2
8200,50.7
60,45.5
2240,45.8
824,49
81700,50.1
3060,44.1
3780,41.3
110,45.8
30,45.2
8250,47.6
2250,48.2
56400,43.2
56,43
89.3,49.8
80,46.8
41700,51.3
110,46.4
40,45.4
255000,51.1
1990,46.6
2,44.7
3860,45.7
125,48.5
108,51
2240,51.5
2250,44.3
396,47.4
2240,45
39300,51.1
254000,50.7
170000,48.6
1570,41.6
600,43.1
160,50.4
172000,42
90,43.6
1200,50.5
234000,45.8
163,50.1
7300,45.8
14500,47.2
13,43.4
2240,43.2
1630,50.8
2240,47.8
400,50.5
464,50.3
241,41.9
22,46.3
3860,45.4
2240,46.3
3,51
13,42.3
109,44.6
150,50.6
110,51.1
208,50.8
328,44.8
4,49.2
184000,42.9
51400,51.1
70.6,43.9
64000,52.5
73500,48.5
1990,45.6
100000,47.2
135,49.3
3860,48.7
1990,49.8
93,50.1
110,50.5
850,41.7
8000,44.8
109,46.3
47400,50.9
450,42.1
68.9,49.1
4880,44.7
36800,44.5
110,50.7
5210,48.9
3860,45.2
2240,47.3
2100,50.9
45900,51.5
2250,49.9
350,50
64800,45.7
242,41.4
66300,50.2
92800,49.1
703000,49
8980,47.3
2240,46.8
53100,46.1
67.3,47.6
850,43.6
64,45.9
3430,51.3
170,49
2100,44.3
40200,45.1
11700,50.9
42500,49.1
16000,48.2
110,44.2
2240,44.2
110,46.6
209000,51.3
5210,52.2
1990,50.5
1930,50.7
1600,48.5
1470,48.3
939,41.4
239000,47.5
109,44.2
127000,48.1
1340,47.7
2300,47.4
70,41.2
110,49.4
110,49.6
39100,43
1900,45.9
110,50.4
122000,51.3
110,47.5
110,47.2
2240,43.6
11800,51.2
924,43.7
2250,45.1
8400,47.3
2240,43.6
236000,51.6
7440,50.6
1370,46.2
1470,47.8
3970,41.9
4550,43.6
49700,48.5
86100,50.2
17000,48
10,47.7
5110,48.7
110,42.3
7390,49.7
185000,48.3
254000,50.7
1100,41.9
15,47.3
4000,50.1
255000,50.9
1400,44.1
51700,47.1
2240,48.3
900,43.9
670,46.8
84,46.3
280,50.3
1450,47.3
90,45.2
1500,42.9
2240,47.8
2250,43.9
27500,48.3
350,43.3
44,49.2
110,51
380,41.1
15800,49.2
23000,48.5
2270,47.2
13600,50.6
24000,49.6
5210,48.3
235,45
20,44.2
64,46
2240,45.3
3,45.3
255000,50.1
1160,44.6
750,43.1
52500,50.4
25.6,46.6
3880,51.9
17800,47
80,48.2
69.8,45.1
3110,44.6
138000,47.7
50300,41.9
5180,43.8
70,50.5
2240,42.7
6750,45.4
1600,44.8
3860,48.2
1300,43.8
19400,47.2
2240,44.7
38,50.8
460,50.2
255000,50.9
35000,42.9
11600,47.1
11800,51.4
49800,45
62700,44.1
150,47.5
2240,41.7
2000,47.8
89.4,50.1
110,50
88.4,49.9
19,51
5,49.9
2240,49.5
110,50
60,49.1
2240,51.2
9320,47.2
110,45.3
3930,49.4
253,50.1
115,47.2
1750,45.5
370,44.6
89800,48.8
2240,46.4
1600,45
1500,44.4
84,46.7
2240,49.8
25,44.5
8320,40.8
61.5,48
2240,48.6
2240,45.6
140,41.4
2330,49.7
110,50.9
66100,46.2
2240,50.9
2240,50.9
623,46.5
110,41.7
47600,51
2240,45.2
110,48.6
80,46
1500,51.1
124000,47.1
80,42.2
7000,48.9
4280,43.1
6500,48.1
88.6,47.6
1730,50.6
2240,48.8
6200,45
110,50.1
110,46.4
55,46.6
2150,49.7
2240,45.4
110,49.1
1500,48.2
939,51.1
70.9,46.1
110,42.4
7600,48.1
1200,42.7
815000,49.3
80,49.7
2080,46.2
263,49.7
236000,51.6
93,50.9
2240,42.8
197,49.3
1450,46.8
